SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Name,LOD
105,"colors = 'Red,Green,Yellow' , 
Harry wants to see a list of colors from the above string only.Help
 Harry to chose the correct code","colors.remove("","")","colors.split("","")","colors.partition("","")",both b and c,b,Umesh,Easy
106,"Animals = 'cow,dog,cat' , 
You wants to see a list of animal from the above string including 
the commas. chose the correct code","animals.remove("","")","animals.split("","")","animals.partition("","")",non of the above,b,Umesh,Easy
107,"x = ( ) ,Find out the size of x ?",0 bytes,2 bytes,8 bytes,48 bytes,d,Umesh,Easy
108,"Find the output ?
l = [""a"", ""b"", ""c""]
l += ""de""
print(l)","[‘a’, ‘b’, ‘c’, ‘d’, ‘e’]","[‘a’, ‘b’, ‘c’, ‘de’]","[‘ade’, ‘bde’, ‘cde’]",non of the above,a,Umesh,Easy
109,"x = {*()},  x is mutable .",TRUE,FALSE,Can not define,x is not of any data type,b,Umesh,Easy
110,"I. Constructors can return values
 II. The __bases__ attribute will give you the names of the direct parent classes.
For above two state ments select correct options",Only 1 is true,Only 2 is true,Both are true,both are false,b,Umesh,Easy
111,"s = ""ADG is the BeSt cluB .""
s = s[0:10] + s[10:].swapcase()
print(s)

What is the output",ADG is the bEST CLUB .,ADG is the BEST CLUb .,ADG is the bEsT CLUb .,ADG is the BEST CLUB .,c,Umesh,Easy
112,"What is the output for print(""abbbcabcabacc"".endswith(""abb"", 0, 2))",TRUE,FALSE,1,0,b,Umesh,Easy
113,"what is the output for print('abbbcabcabacc'.replace('ab', '12', 100))",aa12c12c12acc,ccbbc12c12a12,12bbcabc12a12,12bbc12c12acc,d,Umesh,Easy
114,What is the output for print('For'.isidentifier()),TRUE,FALSE,none,error,b,Umesh,Easy
115,What is the output for print('__foo__'.isidentifier()),TRUE,FALSE,none,error,a,Umesh,Easy
116,"def first(a_str):
      c = 0
      for char in a_str:
          if char in 'abcdefghijklmnopqrstuvwxyz':
              c += 1
      return c
what the first function does ?",find number of charcters,find thw number of upper case characters,find the number of lower case charcacters,find the number of numericals,c,Umesh,Easy
117,"What is the output for print('abbbcabcabacc'.replace('ba', '12', 100))",abbbcabca12cc,abbbcab12cacc,abbb12cabccaa,abbbcabcc12aa,a,Umesh,Easy
118,"X = (3e-08, True, False, 10, 6.003, True)
Y = 0
for x in X:
    Y += int(x)
print(Y)
What is the output for the following program ?",10,12,14,18,d,Umesh,Easy
119,"X = (3e-08, True, False, 8, 2.003, False)
Y = 0
for x in X:
    Y += int(x)
print(Y)

What is the output for the following Program ?",11,12,13,14,a,Umesh,Easy
120,"X = (2e-06, False, False, 3, 1.003, False)
Y = 0
for x in X:
    Y += int(x)
print(Y)

What is the output for the following",2,4,6,8,b,Umesh,Easy
121,"What is the output for print(""abbbcabcabacc"".endswith(""abb"", 0, 3))",TRUE,FALSE,abb,abc,a,Umesh,Easy
122,"P={""car"":100,""bike"":50,""flight"":300}
P=dict(zip(P.values(),P.keys()))
print(P)
After execution of above program, 
what changes are happened in P",data type changed,key values are inter changed,no chnage occur,Exception,b,Umesh,Easy
123,What is printed by? print(2+2%3),4,1,2,0,A,Jatin Dhall,Easy
124,What is printed by? print(16 % 15 // 16),"""0.0""",0,"""1.0""",1,B,Jatin Dhall,Easy
125,"What is printed by the following?  
x = ['AB', 'CD']
for i in x:
    x.append(i.lower())
print(x)",No Output(Infinite Loop),"['AB', 'CD', 'ab', 'cd']","['ab', 'cd']","['a', 'b', 'c', 'd']",A,Jatin Dhall,Easy
126,"Analyze the following code:
Given : number = 27
#Code 1:
if number % 2 != 0:
    odd = True
else:
    odd = False
#Code 2:
odd = number % 2 != 0 ",Both Code 1 and Code 2 have errors,Both Code 1 and Code 2 are correct,Code 1 has errors.,Code 2 has errors.,B,Jatin Dhall,Easy
127,"Given L = [], What is printed by:
if L:
    print('First')
else:
    print('Second')",None,First,Second,FirstSecond,C,Jatin Dhall,Easy
128,"What is printed by this sequence of instructions?

L = [(1, 2), (3, 4), (5, 6)]
res = [list(x) for x in L]
print(res)","[[1, 2], [3, 4], [5, 6]]","[(1, 2),(3, 4),(5, 6)]","[1, 2, 3, 4, 5, 6]","[[1, 2, 3, 4, 5, 6]]",A,Jatin Dhall,Easy
129,"What is printed by
D = dict()
for i in range(4):
    for j in range(2):
        D[i] = j
print(D)","{0: 0, 1: 0, 2: 0, 3: 0, 0: 1, 1: 1, 2: 1, 3: 1}","{0: 1, 1: 1, 2: 1, 3: 1}","{0: 0, 1: 0, 2: 0, 3: 0}",TypeError: Immutable object,B,Jatin Dhall,Easy
130,"What is printed by
   
	T1 = (2) 
	T2 = (1, 4) 
	T1 += 6
	print(T1, T1 + T2) ","(6, 1, 4)","(2, 6, 1, 4)","(8, 1, 4)",TypeError ,D,Jatin Dhall,Easy
131,"What is printed by
   
	L = [1, 3, 5, 7, 9] 
	print(L.pop(-2), L.remove(L[1]), L) ","None 1 [1, 5, 9]","7 None [1, 5, 9]","7 None [3, 5, 7, 9]","None 1 [1, 3, 7, 9]",B,Jatin Dhall,Easy
132,"Given this sequence of instructions:

    L1 = [1,2,3]
    L2 = ['a',L1[:],'b',L1]
    L1.append(4)
    print(L2)

    What is printed?","['a', [1, 2, 3, 4], 'b', [1, 2, 3, 4]]","['a', [1, 2, 3], 'b', [1, 2, 3, 4]]","['a', [1, 2, 3,4], 'b', [1, 2, 3]]","['a',L1[:],'b',L1]",B,Jatin Dhall,Easy
133,"# predict output
def calc_disp(x):
    if(x == 0):
        return 0

    return calc_disp(x-1)+2*x-1
print(calc_disp(15))",15,0,406,225,D,Adwaita,Easy
134,"# predict output
def calc_disp(x):
    if(x == 0):
        return 0

    return calc_disp(x-1)+2*x-1
print(calc_disp(31))",62,961,1830,31,D,Adwaita,Easy
135,"## predict output
print(~~~40)",40,41,-41,-40,C,Adwaita,Easy
136,"## predict output
print(~~~~~~98)",98,-99,99,-98,A,Adwaita,Easy
137,"## predict output

def adg(adg1,adg2):
    adg3=1
    adg2[1]=100
x=5
adg3=[4,6,7,4,2]
adg(x,adg3)
print(x,adg3[1])",5 6,2   200,5   100,2 6,C,Adwaita,Easy
138,"## predict output

def adg(adg1,adg2):
    adg3=4
    adg2[3]=5
x=2
adg3=[4,6,7,4,2,4,5]
adg(x,adg3)
print(x,adg3[3])",2 5,4 5,4 4,2 3,A,Adwaita,Easy
139,To run python in cmd what command is used??,py,python,run py,None of the above,B,Adwaita,Easy
140,"## predict output
txt=""Manchester united""
for i in range(txt):
    print(i)",Manchester united,Error,Manchesterunited,0 1 2 ....16,B,Adwaita,Easy
141,"## predict output
txt=""Apple developers Group""
for i in range(txt):
    print(i)",Apple developers Group,0 1 2 3 ... 22,Error,None of the above,C,Adwaita,Easy
142,"## predict output
txt=""Programming""
for i in range(txt):
    print(i)",0 1 2 ... 10,Error,Programming,None of the above,B,Adwaita,Easy
143,"## predict output
s1=""Cristiano Ronaldo""
s2=""Kylian Mbappe""
print(s1[:6],s2[3:9])",Cristiano Ky,Cristi ian Mb,Ronaldo Kyli,None of the above,B,Adwaita,Easy
144,"# predict output
def adg(x,y):
    if(y==0):
        return x
    else:
        return adg(x+y,y-1)
print(adg(4,7))",28,32,11,3,B,Adwaita,Easy
145,"#predict output
t=[]
def adg(v):
    if(v==0):
        return t
    dig=v%2
    t.append(dig)
    adg(v//2)
adg(50)
t.reverse()
for i in t:
    print(i,end="""")",110010,1101,11001,110100,A,Adwaita,Easy
146,"#predict output
t=[]
def adg(v):
    if(v==0):
        return t
    dig=v%2
    t.append(dig)
    adg(v//2)
adg(234)
t.reverse()
for i in t:
    print(i,end="""")",10100010,11101010,11010101,11011111,B,Adwaita,Easy
147,What is the output of the following code?,John  John,John Maria,Maria Maria,Maria John,Maria John,srinivas,Easy
148,What is the output of the following code?,Error,"[12, 22, 32, 42, 52]","[1, 4, 9, 16, 25]",None of the above,"[12, 22, 32, 42, 52]",srinivas,Easy
149,What is the output of the following code?,Error,"[12, 22, 32, 42, 52]","[3, 5, 8, 10, 13]",None of the above,"[3, 5, 8, 10, 13]",srinivas,Easy
150,What is the output of the following code?,Error,"[12, 22, 32, 42, 52]","[96, 176, 256, 336, 416]","[3, 5, 10, 13]","[96, 176, 256, 336, 416]",srinivas,Easy
151,What will be the output of the following code?,Error,"[96, 176, 256, 336, 416]","[""96"", ""176"", ""256"", ""416""]",None of the above,"[""96"", ""176"", ""256"", ""336"", ""416""]",srinivas,Easy
152,What will be the output of the following code?,Error,1,"{1,2,3,4}",0xFFFFCCC,1,srinivas,Easy
153,What will be the output of the following code?,Error,1,2,"{1,2,3,4}",2,srinivas,Easy
154,What will be the output of the following code?,Error,123 10000 234 12300,123 1000 123 1000,234 12300 234 12300,B,srinivas,Easy
155,What will be the output of the following code?,Error,123 10000 234 12300,123 1000 123 1000,234 12300 234 12300,Error,srinivas,Easy
156,What will be the output of the following code?,Error,123 10000 234 12300,123 1000 123 1000,234 12300 234 12300,Error,srinivas,Easy
157,What will be the output of the following code?,Error,123 10000 234 12300,123 1000 123 1000,234 12300 234 12300,Error,srinivas,Easy
158,What will be the output of the following code?,Error,0,6,4,6,srinivas,Easy
159,What will be the output of the following code?,Error,0,2,4,2,srinivas,Easy
160,What will be the output of the following code?,Error,2,&2,&0,&2,srinivas,Easy
161,What will be the output of the following code?,Error,4,2,5,4,srinivas,Easy
162,What will be the output of the following code?,Error,4,2,5,Error,srinivas,Easy
163,"Find the output

a=10
b=2

if(++a>10 || b++>2)
{
print(a)
print(b)
}
","10
2","11
3","11
2","10
3",c,Shubh Kapil,Easy
164,"Find the output

a=20
b=8

if(++a>20 || b++>8)
{
print(a)
print(b)
}","20
8","
21
8","20
9","21
9",b,Shubh Kapil,Easy
165,"
Find the output

a=50
b=2

if(++a>50 || b++>2)
{
print(a)
print(b)
}","20
2","51
2","
50
3","51
3",b,Shubh Kapil,Easy
166,"
Find the output:

a=5
b=4

if(++a>5 && b++>=4)
{
print(a)
print(b)
}
","5
4","5
5","6
5","6
4",c,Shubh Kapil,Easy
167,"Find the output:

a=10
b=20

if(++a>10 && b++>=20)
{
print(a)
print(b)
}","10
21","11
21","11
20","10
20",b,Shubh Kapil,Easy
168,"hi = ""i am iron man""
print(hi.split())

the above python code prints what data type?",tuple of strings,multiple individual strings,list of strings,dictionary of strings,c,harsh vardhan,Easy
169,which character is used to escape special characters in python regex?,$,\,*,/,b,harsh vardhan,Easy
170,"l = ['*']
n = int(input())
for i in reversed(range(1,n+1)):
    print(''.join(l*i))

Output when value of n is 5?","*****
****
***
**
* ","*
**
***
****
*****","*****
*****
*****
*****
*****","*****
****
***
****
*****",a,harsh vardhan,Easy
171,"l = ['*']
n = int(input())
for i in (range(1,n+1)):
    print(''.join(l*i))

Output when value of n is 5?","*****
****
***
**
* ","*
**
***
****
*****","*****
*****
*****
*****
*****","*****
****
***
****
*****",b,harsh vardhan,Easy
172,which of the following is NOT a built-in python function,enumerate(),slice(),property(),println(),d,harsh vardhan,Easy
173,"lis = ""1,2,3,4,5,6""
print(set(lis))

output of the above snippet?","{',', '4', '3', '1', '2', '6', '5'}","['6', '5', '4', '2', '1', '3', ',']","('5', '4', '2', '6', ',', '3', '1')",None,a,harsh vardhan,Easy
174,"lis = [1,2,3,4,5,6,6]
print(set(lis))
what does the above code do?",Sort the list in ascending order,Sort the list in descending order,Remove duplicate values,Prints the list in a random order,c,harsh vardhan,Easy
175,"def adg(a, arr=[]):
    for i in range(a):
        arr.append(i * i)
    print(arr)
adg(3, [3, 2, 1])","[3, 2, 1, 0, 1, 4]","[3, 2, 1]","[0, 1, 4, 9]","[3, 2, 1, ,0 1, 4, 9]",A,Adwaita,Easy
176,"def adg(a, arr=[]):
    for i in range(a):
        arr.append(i * i)
    print(arr)
adg(4, [3, 2])","[3, 2, 0, 1]","[3, 2, 0, 1, 4, 9]","[0, 1, 4, 9]","[3, 2, 0, 1, 4, 9, 16]",B,Adwaita,Easy
177,"def adg(a, arr=[]):
    for i in range(a):
        arr.append(i * i)
    print(arr)
adg(5, [3, 5, 7])","[0, 1, 4, 9, 16]
","[3, 5, 7, 0]",None ,"[3, 5, 7, 0, 1, 4, 9, 16] ",D,Adwaita,Easy
178,"def adg(a, arr=[]):
    for i in range(a):
        arr.append(i * i)
    print(arr)
adg(4, [-1,-3,7])","[-1, -3, 7, 0, 1, 4, 9]","[0, 1, 4, 9]","[-1, -3, 7]",None,A,Adwaita,Easy
179,"arr = {4:3,3:6,5:23,15:2}
print(sum([v for v in arr.keys()]))",27,34,80,61,A,Adwaita,Easy
180,"arr = {41:32,33:64,53:233,125:23, 63:89}
print(sum([v for v in arr.keys()]))",441,756,537,315,D,Adwaita,Easy
181,"arr = {41:52,43:63,53:343,25:223, 633:839}
print(sum([v for v in arr.keys()]))",625,2315,1520,795,D,Adwaita,Easy
182,"arr = {21:42,143:33,43:363,5:233,33:39}
print(sum([v for v in arr.keys()]))",245,710,955,291,A,Adwaita,Easy
183,"arr = {21:42,143:33,43:363,5:233,33:39}
print(sum([v for v in arr.values()]))",955,710,245,113,B,Adwaita,Easy
184,"arr = {23:422,43:333,453:63,55:273,323:329}
print(sum([v for v in arr.values()]))",1420,897,2317,710,A,Adwaita,Easy
185,"arr = {2:422,435:33,45:636,587:254}
print(sum([v for v in arr.values()]))",1069,1345,2414,737,B,Adwaita,Easy
186,,,,,,,,Easy
187,"What is the output of the code shown below?
print(not(5>4),not(2&3))",True True,True False,False True,False False,D,Surbhit,Easy
188," 
                 
What is the output of the code shown below?
print(not(5<4),not(2&-3))
",True True,True False,False True,False False,A,Surbhit,Easy
189," 
                 
What is the output of the code shown below?
print(not(5|0),not(2&3))
",True True,True False,False True,False False,D,Surbhit,Easy
190," 
                 
What is the output of the code shown below?
print(not(5&0),not(2|3))
",True True,True False,False True,False False,B,Surbhit,Easy
191,"print(++~12)
",12,13,-12,-13,D,Adwaita,Easy
192,print(++~12--~~34),21,46,-21,-46,A,Adwaita,Easy
193,What is the output of the code shown below?,350,200,500,700,700,srinivas,Easy
194,What is the output of the code shown below?,1100,350,200,500,1100,srinivas,Easy
195,What is the output of the code shown below?,1100,7000,6500,5000,7000,srinivas,Easy
196,What is the output of the code shown below?,3500,1100,4000,3520,3500,srinivas,Easy
197,What is the output of the code shown below?,3500,110,3000,1400,1400,srinivas,Easy
198,What is the output of the code shown below?,1500,1700,1400,1200,1500,srinivas,Easy
199,What is the output of the code shown below?,300,400,500,600,300,srinivas,Easy
200,What is the output of the code shown below?,1500,2000,2500,3000,2500,srinivas,Easy
201,What is the output of the following code?,-19,-21,-17,None of the above,-19,srinivas,Easy
202,What is the output of the following code?,200,256,230,None of the above,256,srinivas,Easy
203,What is the output of the following code?,650,752,709,None of the above,709,srinivas,Easy
204,What is the output of the following code?,130,175,151,None of the above,151,srinivas,Easy
205,What is the output of the following code?,131,130,125,None of the above,131,srinivas,Easy
206,,,,,,,,Easy
207,,,,,,,,Easy
208,,,,,,,,Easy
209,,,,,,,,Easy
210,"def hello():
    a = 6
    b = 9
    for i in range(2,5):
        a+=i
        for j in range(2,5):
            b+=j
    print(a,b)

hello()
What are the final values of a and b respectively","10, 30","15, 36","36, 15","15, 15",b,harsh vardhan,Easy
211,"def hello():
    a = 6
    b = 9
    for i in range(2,7):
        a+=i
        for j in range(2,9):
            b+=j
    print(a,b)
hello()

What are the final values of a and b respectively","8, 44","11, 79","26, 184","20, 149",c,harsh vardhan,Easy
